sessionId,sampleIndex,action,source,x,y,eventTimeNs
1,0,DOWN,current,981.2002,1702.9004,740875401541000
1,1,MOVE,historical,980.9004,1702.7002,740875585740000
1,2,MOVE,current,980.6289,1702.5371,740875590639000
1,3,MOVE,historical,980.4004,1702.4004,740875594775000
1,4,MOVE,current,980.01855,1702.2363,740875598972333
1,5,MOVE,historical,979.7002,1702.0996,740875602474000
1,6,MOVE,current,979.34766,1701.9238,740875607305666
1,7,MOVE,historical,979.0996,1701.7998,740875610691000
1,8,MOVE,current,978.68945,1701.7412,740875615597999
1,9,MOVE,historical,978.4004,1701.7002,740875619051000
1,10,MOVE,current,977.8887,1701.5869,740875623911333
1,11,MOVE,historical,977.5,1701.5,740875627611000
1,12,MOVE,current,976.9463,1701.4443,740875632244666
1,13,MOVE,historical,976.5,1701.4004,740875635981000
1,14,MOVE,current,975.82227,1701.4004,740875640577999
1,15,MOVE,historical,975.2002,1701.4004,740875644801000
1,16,MOVE,current,974.5088,1701.4492,740875648911332
1,17,MOVE,historical,973.7998,1701.5,740875653126000
1,18,MOVE,current,973.16016,1701.5488,740875657244665
1,19,MOVE,historical,972.5,1701.5996,740875661499000
1,20,MOVE,current,971.7842,1701.7432,740875665403313
1,21,MOVE,historical,971.0,1701.9004,740875669677000
1,22,MOVE,current,970.2012,1702.0879,740875673717875
1,23,MOVE,historical,969.2998,1702.2998,740875678280000
1,24,MOVE,current,968.40137,1702.5244,740875682032350
1,25,MOVE,historical,967.2998,1702.7998,740875686629000
1,26,MOVE,current,966.42676,1703.0186,740875690346981
1,27,MOVE,historical,965.2998,1703.2998,740875695144000
1,28,MOVE,current,964.47363,1703.5068,740875698661199
1,29,MOVE,historical,963.2002,1703.9004,740875703849000
1,30,MOVE,current,962.36816,1704.1377,740875706975628
1,31,MOVE,historical,961.0996,1704.5,740875711744000
1,32,MOVE,current,960.0127,1704.793,740875715276354
1,33,MOVE,historical,958.5,1705.2002,740875720190000
1,34,MOVE,current,957.33984,1705.5312,740875723581201
1,35,MOVE,historical,955.7002,1706.0,740875728376000
1,36,MOVE,current,954.49805,1706.3438,740875731888729
1,37,MOVE,historical,952.7002,1706.7998,740875737103000
1,38,MOVE,current,951.63574,1707.084,740875740197864
1,39,MOVE,historical,949.4004,1707.7002,740875745510000
1,40,MOVE,current,948.22266,1708.0215,740875748508338
1,41,MOVE,historical,945.4004,1708.9004,740875753640000
1,42,MOVE,current,943.83984,1709.3682,740875756810849
1,43,MOVE,historical,941.4004,1710.0996,740875762191000
1,44,MOVE,current,940.03125,1710.5107,740875765116100
1,45,MOVE,historical,937.5996,1711.2002,740875770900000
1,46,MOVE,current,936.499,1711.5186,740875773423572
1,47,MOVE,historical,934.0,1712.2998,740875779222000
1,48,MOVE,current,932.91406,1712.6318,740875781732583
1,49,MOVE,historical,930.5,1713.2998,740875787516000
1,50,MOVE,current,929.4346,1713.6045,740875790040138
1,51,MOVE,historical,927.0,1714.4004,740875796161000
1,52,MOVE,current,926.11426,1714.6787,740875798348935
1,53,MOVE,historical,923.5996,1715.4004,740875804348000
1,54,MOVE,current,922.6406,1715.6826,740875806658946
1,55,MOVE,historical,920.2998,1716.4004,740875812676000
1,56,MOVE,current,919.3906,1716.6758,740875814970463
1,57,MOVE,historical,916.7998,1717.2998,740875821099000
1,58,MOVE,current,915.8926,1717.5332,740875823283360
1,59,MOVE,historical,913.2998,1718.2998,740875829434000
1,60,MOVE,current,912.39453,1718.5586,740875831589988
1,61,MOVE,historical,909.7998,1719.4004,740875838077000
1,62,MOVE,current,909.0625,1719.6318,740875839898491
1,63,MOVE,historical,906.4004,1720.4004,740875846076000
1,64,MOVE,current,905.49316,1720.667,740875848208916
1,65,MOVE,historical,902.9004,1721.5996,740875854540000
1,66,MOVE,current,902.08105,1721.8809,740875856521172
1,67,MOVE,historical,899.2998,1722.7998,740875862947000
1,68,MOVE,current,898.4912,1723.0693,740875864835135
1,69,MOVE,historical,895.5996,1724.0996,740875871433000
1,70,MOVE,current,894.8545,1724.3623,740875873143445
1,71,MOVE,historical,891.7998,1725.5,740875880330000
1,72,MOVE,current,891.32227,1725.6758,740875881449116
1,73,MOVE,historical,887.9004,1727.0,740875888485000
1,74,MOVE,current,887.292,1727.2344,740875889756534
1,75,MOVE,historical,883.9004,1728.5,740875896864000
1,76,MOVE,current,883.3262,1728.7148,740875898065880
1,77,MOVE,historical,880.0,1729.9004,740875905153000
1,78,MOVE,current,879.4238,1730.1064,740875906377057
1,79,MOVE,historical,875.9004,1731.5,740875913506000
1,80,MOVE,current,875.31836,1731.7266,740875914690001
1,81,MOVE,historical,871.9004,1733.0996,740875921749000
1,82,MOVE,current,871.29297,1733.3428,740875922999874
1,83,MOVE,historical,867.9004,1734.5996,740875930372000
1,84,MOVE,current,867.46484,1734.7637,740875931310960
1,85,MOVE,historical,863.9004,1736.0996,740875938686000
1,86,MOVE,current,863.4492,1736.2695,740875939623490
1,87,MOVE,historical,859.7998,1737.5,740875947044000
1,88,MOVE,current,859.3623,1737.6494,740875947937153
1,89,MOVE,historical,855.7998,1738.7998,740875955358000
1,90,MOVE,current,855.3701,1738.9395,740875956251922
1,91,MOVE,historical,851.7998,1740.2002,740875963882000
1,92,MOVE,current,851.4785,1740.3125,740875964567959
1,93,MOVE,historical,847.9004,1741.5996,740875972388000
1,94,MOVE,current,847.6719,1741.6816,740875972885297
1,95,MOVE,historical,844.4004,1742.9004,740875980709000
1,96,MOVE,current,844.1914,1742.9775,740875981203875
1,97,MOVE,historical,841.0,1744.2998,740875990118000
1,98,MOVE,historical,837.7998,1745.7998,740875997533000
1,99,MOVE,current,837.66797,1745.8613,740875997838534
1,100,MOVE,historical,834.5,1747.2998,740876006593000
1,101,MOVE,historical,831.0996,1749.0,740876014261000
1,102,MOVE,current,831.00684,1749.0469,740876014471859
1,103,MOVE,historical,827.5,1750.7998,740876022666000
1,104,MOVE,current,827.44727,1750.8262,740876022789615
1,105,MOVE,historical,823.9004,1752.7998,740876031056000
1,106,MOVE,current,823.8779,1752.8125,740876031107585
1,107,MOVE,historical,820.2002,1754.7002,740876039447000
1,108,MOVE,current,816.5908,1756.6504,740876047734660
1,109,MOVE,historical,816.5,1756.7002,740876047944000
1,110,MOVE,current,813.1094,1758.4893,740876056048318
1,111,MOVE,historical,812.9004,1758.5996,740876056549000
1,112,MOVE,current,809.77246,1760.2559,740876064362173
1,113,MOVE,historical,809.5,1760.4004,740876065042000
1,114,MOVE,current,806.56934,1761.7734,740876072676329
1,115,MOVE,historical,806.2998,1761.9004,740876073377000
1,116,MOVE,current,803.9414,1762.8975,740876080990797
1,117,MOVE,historical,803.7002,1763.0,740876081771000
1,118,MOVE,current,801.6113,1763.8701,740876089305763
1,119,MOVE,historical,801.2998,1764.0,740876090428000
1,120,MOVE,current,799.39844,1764.8154,740876097619812
1,121,MOVE,historical,799.2002,1764.9004,740876098369000
1,122,MOVE,current,797.45996,1765.541,740876105935128
1,123,MOVE,historical,797.2998,1765.5996,740876106631000
1,124,MOVE,current,795.66895,1766.2344,740876114249248
1,125,MOVE,historical,795.5,1766.2998,740876115038000
1,126,MOVE,current,794.4492,1766.7383,740876122565418
1,127,MOVE,historical,794.2998,1766.7998,740876123631000
1,128,MOVE,current,793.15625,1767.2402,740876130879654
1,129,MOVE,historical,793.0,1767.2998,740876131871000
1,130,MOVE,current,792.0459,1767.6465,740876139195745
1,131,MOVE,historical,791.9004,1767.7002,740876140318000
1,132,MOVE,current,790.8799,1768.125,740876147511332
1,133,MOVE,historical,790.7002,1768.2002,740876148778000
1,134,MOVE,current,789.583,1768.6299,740876155825749
1,135,MOVE,historical,789.4004,1768.7002,740876156980000
1,136,MOVE,current,788.51953,1769.1006,740876164141343
1,137,MOVE,historical,788.2998,1769.2002,740876165926000
1,138,MOVE,current,787.4336,1769.5938,740876172455832
1,139,MOVE,historical,787.2002,1769.7002,740876174212000
1,140,MOVE,current,786.4844,1770.0186,740876180752585
1,141,MOVE,historical,786.2998,1770.0996,740876182432000
1,142,MOVE,current,785.6094,1770.4072,740876189034587
1,143,MOVE,historical,785.4004,1770.5,740876191036000
1,144,MOVE,current,784.63965,1770.8809,740876197315045
1,145,MOVE,historical,784.4004,1771.0,740876199291000
1,146,MOVE,current,783.6826,1771.3594,740876205594742
1,147,MOVE,historical,783.4004,1771.5,740876208073000
1,148,MOVE,current,782.7471,1771.79,740876213880544
1,149,MOVE,historical,782.5,1771.9004,740876216080000
1,150,MOVE,current,781.81934,1772.2402,740876222171110
1,151,MOVE,historical,781.5,1772.4004,740876225026000
1,152,MOVE,current,780.89453,1772.7363,740876230472170
1,153,MOVE,historical,780.5996,1772.9004,740876233118000
1,154,MOVE,current,779.9824,1773.1748,740876238775204
1,155,MOVE,historical,779.7002,1773.2998,740876241362000
1,156,MOVE,current,779.15137,1773.5742,740876247079896
1,157,MOVE,historical,778.9004,1773.7002,740876249697000
1,158,MOVE,current,778.5039,1773.9639,740876255385981
1,159,MOVE,historical,778.2998,1774.0996,740876258315000
1,160,MOVE,current,777.96875,1774.2324,740876263693416
1,161,MOVE,historical,777.7998,1774.2998,740876266431000
1,162,MOVE,current,777.60645,1774.4297,740876272001972
1,163,MOVE,historical,777.5,1774.5,740876275054000
1,164,MOVE,current,777.3076,1774.6279,740876280312034
1,165,MOVE,historical,777.2002,1774.7002,740876283271000
1,166,MOVE,current,777.1387,1774.7002,740876288623880
1,167,MOVE,historical,777.0996,1774.7002,740876291956000
1,168,MOVE,current,777.042,1774.7578,740876296937996
1,169,MOVE,historical,777.0,1774.7998,740876300546000
1,170,MOVE,current,777.0,1774.7441,740876305254923
1,171,MOVE,historical,777.0,1774.7002,740876308930000
1,172,MOVE,current,777.0,1774.6426,740876313577107
1,173,MOVE,historical,777.0,1774.5996,740876317028000
1,174,MOVE,current,777.0,1774.543,740876321904584
1,175,MOVE,historical,777.0,1774.5,740876325533000
1,176,MOVE,current,777.0,1774.4434,740876330236905
1,177,MOVE,historical,777.0,1774.4004,740876333895000
1,178,MOVE,current,777.0,1774.3447,740876338575070
1,179,MOVE,historical,777.0,1774.2998,740876342384000
1,180,MOVE,current,777.0,1774.2461,740876346905336
1,181,MOVE,historical,777.0,1774.2002,740876350724000
1,182,MOVE,current,777.0,1774.1445,740876355226076
1,183,MOVE,historical,777.0,1774.0996,740876358899000
1,184,MOVE,current,777.0,1774.0469,740876363542434
1,185,MOVE,historical,777.0,1774.0,740876367593000
1,186,MOVE,current,777.1035,1773.9482,740876371854086
1,187,MOVE,historical,777.2002,1773.9004,740876375797000
1,188,MOVE,current,778.8887,1773.0059,740876380165318
1,189,MOVE,historical,780.5996,1772.0996,740876384593000
1,190,MOVE,current,782.417,1771.0752,740876388476099
1,191,MOVE,historical,784.5,1769.9004,740876392928000
1,192,MOVE,current,786.4424,1768.9512,740876396791466
1,193,MOVE,historical,788.7998,1767.7998,740876401482000
1,194,MOVE,current,790.7578,1766.9102,740876405107002
1,195,MOVE,historical,793.2002,1765.7998,740876409631000
1,196,MOVE,current,795.18555,1764.8525,740876413415156
1,197,MOVE,historical,797.5996,1763.7002,740876418016000
1,198,MOVE,current,799.51953,1762.8271,740876421723825
1,199,MOVE,historical,802.0,1761.7002,740876426515000
1,200,MOVE,current,803.73145,1760.8555,740876430033010
1,201,MOVE,historical,806.0996,1759.7002,740876434846000
1,202,MOVE,current,807.72266,1758.9316,740876438342579
1,203,MOVE,historical,809.9004,1757.9004,740876443035000
1,204,MOVE,current,811.5176,1757.0908,740876446652494
1,205,MOVE,historical,813.7002,1756.0,740876451531000
1,206,MOVE,current,815.27734,1755.1699,740876454962997
1,207,MOVE,historical,817.5,1754.0,740876459801000
1,208,MOVE,current,819.0957,1753.1602,740876463274034
1,209,MOVE,historical,821.2998,1751.9004,740876468328000
1,210,MOVE,current,822.75,1751.1367,740876471585407
1,211,MOVE,historical,825.0996,1749.9004,740876476867000
